datum,georegion,entries
2020-06-23,VS,0
2020-07-10,CHFL,7
2020-07-11,CHFL,10
2020-07-12,CHFL,12
2020-07-13,CHFL,5
2020-07-14,CHFL,5
2020-07-15,CHFL,8
2020-07-16,CHFL,5
2020-07-17,CHFL,6
2020-07-18,CHFL,6
2020-07-19,CHFL,1
2020-07-20,CHFL,7
2020-07-21,CHFL,6
2020-07-22,CHFL,8
2020-07-23,CHFL,8
2020-07-24,CHFL,16
2020-07-25,CHFL,10
2020-07-26,CHFL,4
2020-07-27,CHFL,8
2020-07-28,CHFL,13
2020-07-29,CHFL,14
2020-08-02,CHFL,6
2020-08-03,CHFL,5
2020-08-04,CHFL,3
2020-08-05,CHFL,7
2020-08-11,CHFL,6
2020-08-12,CHFL,5
2020-08-13,CHFL,10
2020-08-14,CHFL,9
2020-08-16,CHFL,7
2020-08-18,CHFL,7
2020-08-19,CHFL,7
2020-08-20,CHFL,8
2020-08-21,CHFL,9
2020-08-22,CHFL,5
2020-08-23,CHFL,5
2020-08-24,CHFL,7
2020-08-25,CHFL,6
2020-08-26,CHFL,7
2020-08-27,CHFL,6
2020-08-28,CHFL,9
2020-08-29,CHFL,2
2020-08-30,CHFL,7
2020-08-31,CHFL,10
2020-09-01,CHFL,11
2020-09-02,CHFL,11
2020-09-03,CHFL,13
2020-09-04,CHFL,13
2020-09-05,CHFL,10
2020-09-06,CHFL,8
2020-09-07,CHFL,14
2020-09-08,CHFL,8
2020-09-09,CHFL,15
2020-09-10,CHFL,23
2020-09-11,CHFL,16
2020-09-12,CHFL,13
2020-09-13,CHFL,12
2020-09-14,CHFL,10
2020-09-15,CHFL,11
2020-09-16,CHFL,22
2020-09-17,CHFL,16
2020-09-18,CHFL,26
2020-09-19,CHFL,12
2020-09-20,CHFL,12
2020-09-21,CHFL,22
2020-09-22,CHFL,12
2020-09-23,CHFL,17
2020-09-24,CHFL,21
2020-09-25,CHFL,14
2020-09-26,CHFL,9
2020-09-27,CHFL,20
2020-09-28,CHFL,21
2020-09-29,CHFL,30
2020-09-30,CHFL,25
2020-10-01,CHFL,23
2020-10-02,CHFL,29
2020-10-03,CHFL,20
2020-10-04,CHFL,16
2020-10-05,CHFL,26
2020-10-06,CHFL,38
2020-10-07,CHFL,38
2020-10-08,CHFL,58
2020-10-09,CHFL,49
2020-10-10,CHFL,35
2020-10-11,CHFL,47
2020-10-12,CHFL,84
2020-10-13,CHFL,72
2020-10-14,CHFL,92
2020-10-15,CHFL,102
2020-10-16,CHFL,111
2020-10-17,CHFL,117
2020-10-18,CHFL,74
2020-10-19,CHFL,163
2020-10-20,CHFL,164
2020-10-21,CHFL,150
2020-10-22,CHFL,172
2020-10-23,CHFL,206
2020-10-24,CHFL,172
2020-10-25,CHFL,197
2020-10-26,CHFL,248
2020-10-27,CHFL,216
2020-10-28,CHFL,247
2020-10-29,CHFL,239
2020-10-30,CHFL,308
2020-10-31,CHFL,173
2020-11-01,CHFL,216
2020-06-26,CH,5
2020-11-02,CHFL,305
2020-11-03,CHFL,271
2020-11-04,CHFL,227
2020-11-05,CHFL,224
2020-11-06,CHFL,272
2020-11-07,CHFL,225
2020-11-08,CHFL,175
2020-11-09,CHFL,290
2020-11-10,CHFL,223
2020-11-11,CHFL,234
2020-11-12,CHFL,225
2020-11-13,CHFL,248
2020-11-14,CHFL,182
2020-06-24,VS,1
2020-08-12,CH,5
2020-11-15,CHFL,148
2020-11-16,CHFL,279
2020-11-17,CHFL,214
2020-11-18,CHFL,195
2020-11-19,CHFL,174
2020-11-20,CHFL,214
2020-11-21,CHFL,109
2020-11-22,CHFL,156
2020-11-23,CHFL,228
2020-11-24,CHFL,166
2020-11-25,CHFL,177
2020-11-26,CHFL,179
2020-11-27,CHFL,191
2020-06-25,VS,0
2020-08-31,CH,10
2020-09-10,CH,23
2020-11-28,CHFL,153
2020-11-29,CHFL,119
2020-11-30,CHFL,206
2020-12-01,CHFL,160
2020-12-02,CHFL,173
2020-12-03,CHFL,184
2020-12-04,CHFL,186
2020-12-05,CHFL,143
2020-12-06,CHFL,134
2020-12-07,CHFL,224
2020-12-08,CHFL,177
2020-06-26,VS,0
2020-06-27,VS,0
2020-09-26,CH,9
2020-10-03,CH,20
2020-12-09,CHFL,205
2020-12-10,CHFL,172
2020-12-11,CHFL,165
2020-12-12,CHFL,148
2020-12-13,CHFL,145
2020-12-14,CHFL,200
2020-12-15,CHFL,185
2020-12-16,CHFL,176
2020-12-17,CHFL,168
2020-12-18,CHFL,192
2020-12-19,CHFL,136
2020-06-28,VS,0
2020-06-29,VS,0
2020-06-30,VS,2
2020-02-29,CH,14
2020-10-06,CH,38
2020-10-08,CH,57
2020-12-20,CHFL,109
2020-12-21,CHFL,198
2020-12-22,CHFL,166
2020-12-23,CHFL,169
2020-12-24,CHFL,167
2020-12-25,CHFL,154
2020-12-26,CHFL,141
2020-12-27,CHFL,128
2020-12-28,CHFL,224
2020-07-01,VS,0
2020-07-02,VS,1
2020-10-09,CH,48
2020-10-12,CH,84
2020-12-29,CHFL,161
2020-12-30,CHFL,171
2020-12-31,CHFL,135
